Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Description,Manufacturer,Note,Note:,Part Number
37,26,"R5, R6, R7, R11, R12, R24, R29, R36, R37, R41, R48, R49, R51, R52, R54, R59, R62, R63, R64, R66, R67, R68, R85, R93, R104, R105",10k,Device:R,hackrf:GSG-0402,~,RES 10K OHM 1/16W 5% 0402 SMD,Stackpole,,,RMCF0402JT10K0
38,4,"R14, R15, R16, R17",4k7,Device:R,hackrf:GSG-0402,~,RES 4.7K OHM 1/16W 1% 0402,Stackpole,,,RMCF0402FT4K70
39,4,"R18, R27, R28, R74",1k8,Device:R,hackrf:GSG-0402,~,RES TF 1.8K OHM 5% 1/16W 0402,Stackpole,,,RMCF0402JT1K80
40,6,"R20, R21, R22, R23, R57, R58",0,Device:R,hackrf:GSG-0402,~,RES 0.0 OHM 1/16W 0402 SMD,Stackpole,,,RMCF0402ZT0R00
41,1,R3,22k,Device:R,hackrf:GSG-0402,~,RES 22K OHM 1/10W 5% 0402 SMD,Panasonic,,,ERJ-2GEJ223X
42,1,R4,51k,Device:R,hackrf:GSG-0402,~,RES TF 51K OHM 1% 0.0625W 0402,Stackpole,,,RMCF0402FT51K0
43,2,"R46, R55",162k,Device:R,hackrf:GSG-0402,~,RES TF 1/16W 162K OHM 1% 0402,Stackpole,,,RMCF0402FT162K
44,1,R47,330k,Device:R,hackrf:GSG-0402,~,RES TF 1/16W 330K OHM 1% 0402,Stackpole,,,RMCF0402FT330K
45,1,R56,715k,Device:R,hackrf:GSG-0402,~,RES TF 1/16W 715K OHM 1% 0402,Stackpole,,,RMCF0402FT715K
46,1,R65,18k,Device:R,hackrf:GSG-0402,~,RES SMD 18K OHM 5% 1/16W 0402,Yageo,,,RC0402JR-0718KL
47,1,R69,12k,Device:R,hackrf:GSG-0402,~,RES 12.0K OHM 1/16W 1% 0402 SMD,Rohm,,,MCR01MRTF1202
48,2,"SW1, SW2",RESET,hackrf:SW_PUSH_SHIELDED,hackrf:GSG-SWITCH-FSMRA,,SWITCH TACTILE SPST-NO 0.05A 12V,TE Connectivity,,,FSMRA3JH
49,2,"T1, T2",MIX_OUT_BALUN,hackrf:BALUN-B0310J50100AHF,hackrf:GSG-B0310J50100AHF,,Ultra Low Profile 0805 Balun 50 to 100 ohm Balanced,Anaren,,,B0310J50100AHF
50,2,"T3, T4",TX_BALUN,hackrf:BALUN,hackrf:GSG-2500BL14M100,,BALUN CERAMIC CHIP WIMAX 2.5GHZ,Johanson Technology,Alternative part: Murata LDB182G4510G-120,Alternative part: Murata LDB182G4510G-120,2500BL14M100T
51,7,"U1, U2, U5, U6, U7, U10, U11",SKY13453,gsg-symbols:SKY13453,gsg-modules:SKY13350-385LF,,IC RF SWITCH 6GHZ 6QFN,Skyworks,,,SKY13453-385LF
52,3,"U9, U12, U14",SKY13317,hackrf:SKY13317,hackrf:GSG-SKY13317-373LF,,20 MHz-6.0 GHz pHEMT GaAs SP3T Switch,Skyworks,,,SKY13317-373LF
53,2,"U13, U25",MGA-81563,hackrf:MGA-81563,hackrf:GSG-SOT363,,"0.1-6 GHz 3 V, 14 dBm Amplifier",Avago,,,MGA-81563-TR1G
54,1,U15,TVS,hackrf:LXES1TBCC2-004,hackrf:GSG-LXES1TBCC2-004,,TVS DIODE 5.5V 22V LLP75-6L,Vishay,,,VBUS54CV-HSF-G4-08
55,1,U17,MAX2837,hackrf:MAX2837,hackrf:GSG-QFN48-6,,IC TXRX 2.3GHZ-2.7GHZ 48TQFN,Maxim,,,MAX2837ETM+
56,1,U18,MAX5864,hackrf:MAX5864,hackrf:GSG-QFN48-7,,IC ANLG FRONT END 22MSPS 48-TQFN,Maxim,,,MAX5864ETM+
57,1,U19,SI5351C,hackrf:SI5351C,hackrf:GSG-QFN20-4,,IC CLK GENERATOR 160MHZ 20QFN,Silicon Laboratories Inc,,,SI5351C-B-GM
58,1,U20,W25Q80,hackrf:W25Q80BV,hackrf:GSG-SOIC8-208,,IC FLASH 8MBIT 8SOIC,Winbond,,,W25Q80DVSSIG
59,1,U21,TPS62410,hackrf:TPS62410,hackrf:GSG-S-PVSON-N10,,IC BUCK SYNC DUAL ADJ 0.8A 10SON,Texas Instruments,,,TPS62410DRCR
60,1,U23,LPC4320FBD144,hackrf:LPC43XXFBD144,hackrf:GSG-LQFP144,,IC MCU 32BIT 144LQFP,NXP,,,"LPC4320FBD144,551"
61,1,U24,GSG-XC2C64A-7VQG100C,hackrf:GSG-XC2C64A-7VQG100C,hackrf:GSG-VQ100,,IC CR-II CPLD 64MCELL 100-VQFP,Xilinx,,,XC2C64A-7VQG100C
62,1,U3,RX_LOWPASS_FILTER,hackrf:FIL-LP0603,hackrf:GSG-LP0603,,FILTER LOW PASS 1880MHZ 0603 SMD,AVX,,,LP0603A1880ANTR
63,1,U4,RFFC5072,hackrf:RFFC5072,hackrf:GSG-QFN32,,WIDEBAND SYNTHESIZER/VCO WITH INTEGRATED 6GHz MIXER,RFMD,,,RFFC5072TR7
64,1,U8,RX_HIGHPASS_FILTER,hackrf:FIL-DEA,hackrf:GSG-HP-DEA,,FILTER HIGHPASS WLAN&BLUETOOTH,TDK,,,DEA162400HT-8004B1
65,1,X1,GSG-XTAL4PIN,hackrf:GSG-XTAL4PIN,hackrf:GSG-XTAL3.2x2.5mm,,CRYSTAL 25.0000MHZ 10PF SMD,Abracon,,,ABM8-25.000MHZ-10-D1G-T
66,1,X2,MCU_XTAL,hackrf:GSG-XTAL4PIN,hackrf:GSG-XTAL3.2x2.5mm,,CRYSTAL 12.000 MHZ 12PF SMD,TXC,,,7V-12.000MAAE-T
67,1,X3,RTC_XTAL,Device:Crystal,hackrf:GSG-XTAL-AB26TRQ,~,CRYSTAL 32.768KHZ 12.5PF SMD,Abracon,,,AB26TRQ-32.768KHZ-T
